Player name,Pos,Team,GP,G,A,P,PIM,+/-
Austin Cangelosi,C,Storhamar Ishockey,4,2,6,8,2,0
Michael Haga,LW,IF Frisk Asker,4,1,7,8,2,0
Linus Pettersson,LW,Narvik IK,5,2,6,8,6,0
Teemu Siironen,C,Nidaros Ishockeyklubb,5,1,7,8,0,0
Mathis Olimb,C,Vålerenga IF,4,4,4,8,6,0
Tobias Lindström,LW,IF Frisk Asker,4,4,3,7,0,0
Andreas Martinsen,F,Storhamar Ishockey,4,2,5,7,2,0
Blake McLaughlin,LW,Vålerenga IF,4,1,6,7,0,0
Olle Liss,RW,Storhamar Ishockey,4,4,2,6,2,0
Tobias Åhström,LW,Narvik IK,5,2,4,6,2,0
Martin Ellingsen,F,Lillehammer IK,4,3,3,6,2,0
Håkon Nilsen,D,Vålerenga IF,4,3,3,6,0,0
Nicholas Caamano,RW,Vålerenga IF,4,4,2,6,6,0
Oscar Öhman,C,Lillehammer IK,4,1,4,5,2,0
Jacob Berglund,C,Storhamar Ishockey,4,4,1,5,2,0
Gabriel Koch,D,Vålerenga IF,4,0,5,5,0,0
Viktor Granholm,F,IF Frisk Asker,4,3,2,5,2,0
Mattias Nørstebø,D,Stavanger Oilers,4,0,5,5,0,0
Theo Nordlund,D,Narvik IK,5,3,1,4,4,0
William Magnusson,RW,Stjernen Hockey,4,2,2,4,4,0
Kristian Jakobsson,LW,Sparta Sarpsborg,4,3,1,4,0,0
Calle Spaberg Olsen,LW,Lørenskog IK,3,0,4,4,0,0
Sebastian Kaijser,C,Stjernen Hockey,4,2,2,4,2,0
Cameron Morrison,LW,Stavanger Oilers,4,3,1,4,0,0
Mathias Trettenes,C,Stavanger Oilers,4,1,3,4,2,0
Zach Andrusiak,LW,Stavanger Oilers,4,4,0,4,2,0
Jesper Kokkonen,LW,Narvik IK,5,0,4,4,8,0
Adam Bäckehag,D,Nidaros Ishockeyklubb,5,2,2,4,2,0
Mikkel Seiergren Christiansen,F,Vålerenga IF,4,1,3,4,10,0
Mateusz Szurowski,C,Nidaros Ishockeyklubb,5,2,2,4,2,0
Svein Petter Falk-Larssen,F,Nidaros Ishockeyklubb,5,3,1,4,2,0
Sebastian Johansen,C,Sparta Sarpsborg,4,1,3,4,0,0
Lars Christian Rødne,LW,Stavanger Oilers,4,3,0,3,0,0
Colin Campbell,C,Storhamar Ishockey,4,1,2,3,2,0
Stefan Espeland,D,Storhamar Ishockey,4,0,3,3,0,0
Ryan Lasch,RW,Vålerenga IF,2,0,3,3,2,0
Filip Nordin,LW,Lørenskog IK,4,1,2,3,2,0
Victor Öhman,RW,Sparta Sarpsborg,4,0,3,3,2,0
Ludwig Wistén,LW,Nidaros Ishockeyklubb,3,2,1,3,2,0
Joachim M. Engesveen,F,Lillehammer IK,4,1,2,3,0,0
Adrian Ellingsen,LW,Lillehammer IK,4,2,1,3,0,0
Mathias Papuga,D,Storhamar Ishockey,4,0,3,3,0,0
Martin Rønnild,C,Storhamar Ishockey,4,2,1,3,0,0
Håkon Imset Stormli,LW,Stjernen Hockey,4,1,2,3,0,0
Daniel Bøen Rokseth,D,Vålerenga IF,4,0,3,3,0,0
Vegard Fredriksen,F,Lillehammer IK,4,1,2,3,2,0
Anton Öhman,D,Nidaros Ishockeyklubb,5,0,3,3,2,0
